invoice_no,customer_id,category_id,payment_method_id,shopping_mall_id,invoice_date,quantity,price
I138884,C241288,1,1,1,2022-08-05,5,1500.4
I317333,C111565,2,2,2,2021-12-12,3,1800.51
I127801,C266599,1,3,3,2021-11-09,1,300.08
I173702,C988172,2,1,4,2021-05-16,5,3000.85
I337046,C189076,3,3,1,2021-10-24,4,60.6
I227836,C657758,1,1,2,2022-05-24,5,1500.4
I121056,C151197,4,3,5,2022-03-13,1,40.66
I293112,C176086,1,1,6,2021-01-13,2,600.16
I293455,C159642,1,1,3,2021-11-04,3,900.24
I326945,C283361,1,1,1,2021-08-22,2,600.16
I306368,C240286,5,3,3,2022-12-25,2,10.46
I139207,C191708,3,1,7,2022-10-28,1,15.15
I640508,C225330,6,2,3,2022-07-31,4,143.36
I179802,C312861,1,3,8,2022-11-17,2,600.16
I336189,C555402,1,1,1,2022-06-03,2,600.16
I688768,C362288,2,1,9,2021-11-07,5,3000.85
I294687,C300786,3,2,3,2021-01-16,2,30.3
I195744,C330667,5,1,10,2022-01-05,3,15.69
I993048,C218149,1,3,4,2021-07-26,2,600.16
I992454,C196845,6,3,8,2023-03-07,4,143.36
I183746,C220180,1,1,7,2023-02-15,1,300.08
I412481,C125696,5,3,8,2021-05-01,1,5.23
I823067,C322947,1,1,8,2022-06-18,2,600.16
I252275,C313348,7,3,1,2021-10-26,5,5250.0
I174250,C204553,3,3,3,2022-12-16,5,75.75
I195396,C285161,6,2,5,2021-05-16,2,71.68
I196704,C289625,4,1,6,2022-04-20,5,203.3
I217053,C192344,2,3,7,2022-10-10,4,2400.68
I655874,C447138,2,3,8,2022-08-23,3,1800.51
I209744,C251229,4,1,5,2021-04-29,3,121.98
I161949,C159164,6,2,6,2022-07-04,3,107.52
I331891,C501658,1,1,7,2021-11-21,1,300.08
I768348,C176727,2,1,1,2022-02-23,3,1800.51
I109053,C232624,1,2,3,2021-07-11,4,1200.32
I167211,C164092,2,1,10,2022-08-30,4,2400.68
I339732,C276887,5,1,7,2023-01-04,1,5.23
I147062,C245456,1,1,1,2022-06-21,5,1500.4
I187519,C450287,1,1,3,2022-07-08,2,600.16
I106674,C204279,1,3,1,2022-02-27,2,600.16
I473411,C452806,1,3,4,2022-12-19,1,300.08
I246550,C716788,5,3,10,2021-09-10,3,15.69
I138674,C155059,4,1,4,2022-02-14,2,81.32
I752693,C306662,4,3,3,2022-04-28,3,121.98
I826174,C607615,2,3,3,2022-06-20,4,2400.68
I296025,C120164,2,1,1,2022-04-21,3,1800.51
I117291,C134449,3,1,10,2022-12-09,5,75.75
I267193,C317818,4,1,6,2023-01-12,3,121.98
I205366,C241642,1,2,10,2022-11-07,4,1200.32
